Algorithm,Platform,N,Modulus,Time_us,Correctness,Speedup_vs_CPU_Naive,Speedup_vs_GPU_Naive
GPU Naive,GPU,4,7340033,1088.512,PASS,0.000,1.000
CPU Montgomery,CPU,4,7340033,3.626,PASS,1.000,0.000
GPU Montgomery,GPU,4,7340033,1294.509,PASS,0.003,0.841
GPU Barrett,GPU,4,7340033,1038.598,PASS,0.000,1.048
GPU Naive,GPU,1024,7340033,2329.235,PASS,0.000,1.000
CPU Montgomery,CPU,1024,7340033,514.809,PASS,1.000,0.000
GPU Montgomery,GPU,1024,7340033,2366.752,PASS,0.218,0.984
GPU Barrett,GPU,1024,7340033,1468.109,PASS,0.000,1.587
GPU Naive,GPU,16384,7340033,6942.133,PASS,0.000,1.000
CPU Montgomery,CPU,16384,7340033,11045.998,PASS,1.000,0.000
GPU Montgomery,GPU,16384,7340033,8369.920,PASS,1.320,0.829
GPU Barrett,GPU,16384,7340033,7110.091,PASS,0.000,0.976
GPU Naive,GPU,4,104857601,1624.365,PASS,0.000,1.000
CPU Montgomery,CPU,4,104857601,2.294,PASS,1.000,0.000
GPU Montgomery,GPU,4,104857601,960.109,PASS,0.002,1.692
GPU Barrett,GPU,4,104857601,1579.309,PASS,0.000,1.029
GPU Naive,GPU,1024,104857601,3172.838,PASS,0.000,1.000
CPU Montgomery,CPU,1024,104857601,489.578,PASS,1.000,0.000
GPU Montgomery,GPU,1024,104857601,1990.400,PASS,0.246,1.594
GPU Barrett,GPU,1024,104857601,2473.466,PASS,0.000,1.283
GPU Naive,GPU,16384,104857601,8448.459,PASS,0.000,1.000
CPU Montgomery,CPU,16384,104857601,10584.559,PASS,1.000,0.000
GPU Montgomery,GPU,16384,104857601,6789.035,PASS,1.559,1.244
GPU Barrett,GPU,16384,104857601,6606.272,PASS,0.000,1.279
GPU Naive,GPU,65536,104857601,30176.171,PASS,0.000,1.000
CPU Montgomery,CPU,65536,104857601,48333.355,PASS,1.000,0.000
GPU Montgomery,GPU,65536,104857601,25353.258,PASS,1.906,1.190
GPU Barrett,GPU,65536,104857601,25765.078,PASS,0.000,1.171
GPU Naive,GPU,131072,104857601,60082.615,PASS,0.000,1.000
CPU Montgomery,CPU,131072,104857601,102240.282,PASS,1.000,0.000
GPU Montgomery,GPU,131072,104857601,58309.708,PASS,1.753,1.030
GPU Barrett,GPU,131072,104857601,59658.955,PASS,0.000,1.007
GPU Naive,GPU,4,469762049,979.962,PASS,0.000,1.000
CPU Montgomery,CPU,4,469762049,2.327,PASS,1.000,0.000
GPU Montgomery,GPU,4,469762049,975.456,PASS,0.002,1.005
GPU Barrett,GPU,4,469762049,2069.094,PASS,0.000,0.474
GPU Naive,GPU,1024,469762049,2213.517,PASS,0.000,1.000
CPU Montgomery,CPU,1024,469762049,496.230,PASS,1.000,0.000
GPU Montgomery,GPU,1024,469762049,2305.139,PASS,0.215,0.960
GPU Barrett,GPU,1024,469762049,1782.733,PASS,0.000,1.242
GPU Naive,GPU,16384,469762049,8632.736,PASS,0.000,1.000
CPU Montgomery,CPU,16384,469762049,10858.729,PASS,1.000,0.000
GPU Montgomery,GPU,16384,469762049,7181.003,PASS,1.512,1.202
GPU Barrett,GPU,16384,469762049,7643.349,PASS,0.000,1.129
GPU Naive,GPU,65536,469762049,31983.232,PASS,0.000,1.000
CPU Montgomery,CPU,65536,469762049,49157.630,PASS,1.000,0.000
GPU Montgomery,GPU,65536,469762049,25938.976,PASS,1.895,1.233
GPU Barrett,GPU,65536,469762049,25779.221,PASS,0.000,1.241
GPU Naive,GPU,131072,469762049,63786.708,PASS,0.000,1.000
CPU Montgomery,CPU,131072,469762049,107312.226,PASS,1.000,0.000
GPU Montgomery,GPU,131072,469762049,58991.041,PASS,1.819,1.081
GPU Barrett,GPU,131072,469762049,58180.032,PASS,0.000,1.096
GPU Naive,GPU,4,998244353,2308.749,PASS,0.000,1.000
CPU Montgomery,CPU,4,998244353,2.505,PASS,1.000,0.000
GPU Montgomery,GPU,4,998244353,1316.262,PASS,0.002,1.754
GPU Barrett,GPU,4,998244353,1621.267,PASS,0.000,1.424
GPU Naive,GPU,1024,998244353,2195.283,PASS,0.000,1.000
CPU Montgomery,CPU,1024,998244353,490.769,PASS,1.000,0.000
GPU Montgomery,GPU,1024,998244353,2727.507,PASS,0.180,0.805
GPU Barrett,GPU,1024,998244353,2369.088,PASS,0.000,0.927
GPU Naive,GPU,16384,998244353,8123.808,PASS,0.000,1.000
CPU Montgomery,CPU,16384,998244353,11050.876,PASS,1.000,0.000
GPU Montgomery,GPU,16384,998244353,7791.893,PASS,1.418,1.043
GPU Barrett,GPU,16384,998244353,8707.435,PASS,0.000,0.933
GPU Naive,GPU,65536,998244353,31541.770,PASS,0.000,1.000
CPU Montgomery,CPU,65536,998244353,48391.687,PASS,1.000,0.000
GPU Montgomery,GPU,65536,998244353,28156.502,PASS,1.719,1.120
GPU Barrett,GPU,65536,998244353,26632.043,PASS,0.000,1.184
GPU Naive,GPU,131072,998244353,63888.268,PASS,0.000,1.000
CPU Montgomery,CPU,131072,998244353,111111.756,PASS,1.000,0.000
GPU Montgomery,GPU,131072,998244353,63803.340,PASS,1.741,1.001
GPU Barrett,GPU,131072,998244353,65552.511,PASS,0.000,0.975
