Algorithm,Parallel_Strategy,Size,Avg_Time_ms,Min_Time_ms,Max_Time_ms,Std_Dev_ms,Correctness
Naive,Serial,1024,0.348,0.306,0.418,0.043,Pass
Naive,Serial,8192,5.220,4.307,6.005,0.721,Pass
Naive,Serial,131072,100.097,94.139,106.017,3.849,Pass
Naive,OpenMP,1024,1.419,0.223,5.916,2.249,Pass
Naive,OpenMP,8192,3.333,1.896,7.957,2.317,Pass
Naive,OpenMP,131072,36.474,34.033,38.841,1.665,Pass
Naive,MPI,1024,1.060,0.953,1.177,0.090,Pass
Naive,MPI,8192,11.386,9.429,15.137,1.982,Pass
Naive,MPI,131072,197.879,192.086,204.783,4.808,Pass
Naive,GPU,1024,1.700,1.567,1.896,0.118,Pass
Naive,GPU,8192,2.778,2.202,4.479,0.859,Pass
Naive,GPU,131072,15.451,14.017,17.574,1.246,Pass
Montgomery,Serial,1024,0.545,0.366,0.811,0.146,Pass
Montgomery,Serial,8192,4.721,4.274,5.260,0.383,Pass
Montgomery,Serial,131072,95.879,91.167,104.837,4.718,Pass
Montgomery,OpenMP,1024,4.529,0.250,8.264,2.570,Pass
Montgomery,OpenMP,8192,3.666,1.919,10.044,3.194,Pass
Montgomery,OpenMP,131072,37.388,33.154,40.109,2.393,Pass
Montgomery,MPI,1024,1.217,1.074,1.429,0.122,Pass
Montgomery,MPI,8192,10.085,8.319,11.665,1.139,Pass
Montgomery,MPI,131072,206.535,189.343,232.676,14.191,Pass
Montgomery,GPU,1024,2.233,1.739,2.884,0.514,Pass
Montgomery,GPU,8192,2.662,2.030,4.132,0.830,Pass
Montgomery,GPU,131072,16.731,14.678,18.738,1.585,Pass
Barrett,Serial,1024,0.395,0.368,0.432,0.022,Pass
Barrett,Serial,8192,5.113,4.704,5.930,0.476,Pass
Barrett,Serial,131072,106.330,102.935,111.024,3.003,Pass
Barrett,OpenMP,1024,0.240,0.215,0.299,0.031,Pass
Barrett,OpenMP,8192,3.882,1.985,10.783,3.453,Pass
Barrett,OpenMP,131072,38.003,36.880,39.732,1.205,Pass
Barrett,MPI,1024,1.205,0.932,1.848,0.327,Pass
Barrett,MPI,8192,9.640,7.818,12.312,1.632,Pass
Barrett,MPI,131072,220.708,211.124,228.739,7.144,Pass
Barrett,GPU,1024,2.005,1.342,2.939,0.541,Pass
Barrett,GPU,8192,2.795,2.073,4.451,0.864,Pass
Barrett,GPU,131072,17.846,15.217,25.109,3.729,Pass
