Problem Size,Configuration,Time (μs),Speedup,Efficiency
Small Scale (n=4),Serial Baseline,2.0,1.00x,100.0%
Small Scale (n=4),1 MPI Process,0.01,168.07x,16806.7%
Small Scale (n=4),2 MPI Processes,0.01,151.52x,7575.8%
Small Scale (n=4),2 Processes + 2 Threads,0.02,118.34x,2958.6%
Small Scale (n=4),2 Processes + 4 Threads,0.14,14.42x,180.2%
"Large Scale (n=131,072)",Serial Baseline,473.0,1.00x,100.0%
"Large Scale (n=131,072)",1 MPI Process,489.00,0.97x,96.7%
"Large Scale (n=131,072)",2 MPI Processes,277.00,1.71x,85.4%
"Large Scale (n=131,072)",2 Processes + 2 Threads,274.00,1.73x,43.2%
"Large Scale (n=131,072)",2 Processes + 4 Threads,311.00,1.52x,19.0%
